material_id,pretty_formula,formation_energy_per_atom,num_elements,elements,crystal_system,space_group_symbol,nsites,composition,num_halogens,num_unique_halogen_types
mp-1120715,Ag3BiBr6,-0.49209170049999906,3,"[Element Ag, Element Bi, Element Br]",Cubic,Fm-3m,10,Ag3 Bi1 Br6,6.0,1
mp-1205591,AlAg3F6,-2.134454542500006,3,"[Element Ag, Element Al, Element F]",Cubic,Fm-3m,10,Al1 Ag3 F6,6.0,1
mp-1205935,FeAg3F6,-1.691775917499999,3,"[Element Ag, Element F, Element Fe]",Cubic,Fm-3m,10,Fe1 Ag3 F6,6.0,1
mp-1207208,GaAg3F6,-1.7344413669999992,3,"[Element Ag, Element F, Element Ga]",Cubic,Fm-3m,10,Ga1 Ag3 F6,6.0,1
mp-1079742,GeN2OF6,-0.208247814,4,"[Element F, Element Ge, Element N, Element O]",Cubic,Fm-3m,10,Ge1 N2 O1 F6,6.0,1
mp-1206163,InAg3F6,-1.6455546849999991,3,"[Element Ag, Element F, Element In]",Cubic,Fm-3m,10,In1 Ag3 F6,6.0,1
mp-1112001,K2AgAsBr6,-1.251376618366666,4,"[Element Ag, Element As, Element Br, Element K]",Cubic,Fm-3m,10,K2 Ag1 As1 Br6,6.0,1
mp-1112480,K2AgAsCl6,-1.501012421366666,4,"[Element Ag, Element As, Element Cl, Element K]",Cubic,Fm-3m,10,K2 Ag1 As1 Cl6,6.0,1
mp-1112290,K2AgAsF6,-2.406359153366666,4,"[Element Ag, Element As, Element F, Element K]",Cubic,Fm-3m,10,K2 Ag1 As1 F6,6.0,1
mp-1112101,K2AgAuBr6,-1.139873478616666,4,"[Element Ag, Element Au, Element Br, Element K]",Cubic,Fm-3m,10,K2 Ag1 Au1 Br6,6.0,1
mp-1112479,K2AgAuCl6,-1.343391598616666,4,"[Element Ag, Element Au, Element Cl, Element K]",Cubic,Fm-3m,10,K2 Ag1 Au1 Cl6,6.0,1
mp-1112289,K2AgAuF6,-2.007797548616666,4,"[Element Ag, Element Au, Element F, Element K]",Cubic,Fm-3m,10,K2 Ag1 Au1 F6,6.0,1
mp-1110921,K2AgBiBr6,-1.368099099616666,4,"[Element Ag, Element Bi, Element Br, Element K]",Cubic,Fm-3m,10,K2 Ag1 Bi1 Br6,6.0,1
mp-1110920,K2AgBiCl6,-1.6220751856166662,4,"[Element Ag, Element Bi, Element Cl, Element K]",Cubic,Fm-3m,10,K2 Ag1 Bi1 Cl6,6.0,1
mp-1110851,K2AgBiF6,-2.506700962616666,4,"[Element Ag, Element Bi, Element F, Element K]",Cubic,Fm-3m,10,K2 Ag1 Bi1 F6,6.0,1
mp-1110952,K2AgBiI6,-0.9916730286166661,4,"[Element Ag, Element Bi, Element I, Element K]",Cubic,Fm-3m,10,K2 Ag1 Bi1 I6,6.0,1
mp-1112282,K2AgIrF6,-2.145001022616666,4,"[Element Ag, Element F, Element Ir, Element K]",Cubic,Fm-3m,10,K2 Ag1 Ir1 F6,6.0,1
mp-1110917,K2AgMoBr6,-1.261947738616666,4,"[Element Ag, Element Br, Element K, Element Mo]",Cubic,Fm-3m,10,K2 Ag1 Mo1 Br6,6.0,1
mp-1110858,K2AgMoCl6,-1.406337978166679,4,"[Element Ag, Element Cl, Element K, Element Mo]",Cubic,Fm-3m,10,K2 Ag1 Mo1 Cl6,6.0,1
mp-1110842,K2AgMoF6,-2.563260360616666,4,"[Element Ag, Element F, Element K, Element Mo]",Cubic,Fm-3m,10,K2 Ag1 Mo1 F6,6.0,1
mp-1110951,K2AgMoI6,-0.8501904426166661,4,"[Element Ag, Element I, Element K, Element Mo]",Cubic,Fm-3m,10,K2 Ag1 Mo1 I6,6.0,1
mp-1112279,K2AgPdF6,-2.153241984616666,4,"[Element Ag, Element F, Element K, Element Pd]",Cubic,Fm-3m,10,K2 Ag1 Pd1 F6,6.0,1
mp-1111950,K2AgRhF6,-2.246720276616666,4,"[Element Ag, Element F, Element K, Element Rh]",Cubic,Fm-3m,10,K2 Ag1 Rh1 F6,6.0,1
mp-1112276,K2AgRuF6,-2.222506260616666,4,"[Element Ag, Element F, Element K, Element Ru]",Cubic,Fm-3m,10,K2 Ag1 Ru1 F6,6.0,1
mp-1110912,K2AgSbBr6,-1.322933582616666,4,"[Element Ag, Element Br, Element K, Element Sb]",Cubic,Fm-3m,10,K2 Ag1 Sb1 Br6,6.0,1
mp-1110873,K2AgSbCl6,-1.362271146750004,4,"[Element Ag, Element Cl, Element K, Element Sb]",Cubic,Fm-3m,10,K2 Ag1 Sb1 Cl6,6.0,1
mp-1110848,K2AgSbF6,-2.482672075616666,4,"[Element Ag, Element F, Element K, Element Sb]",Cubic,Fm-3m,10,K2 Ag1 Sb1 F6,6.0,1
mp-1110949,K2AgSbI6,-0.9529765906166661,4,"[Element Ag, Element I, Element K, Element Sb]",Cubic,Fm-3m,10,K2 Ag1 Sb1 I6,6.0,1
mp-1112104,K2AlAgBr6,-1.4915188606166652,4,"[Element Ag, Element Al, Element Br, Element K]",Cubic,Fm-3m,10,K2 Al1 Ag1 Br6,6.0,1
mp-1111973,K2AlAgCl6,-1.8324107956166662,4,"[Element Ag, Element Al, Element Cl, Element K]",Cubic,Fm-3m,10,K2 Al1 Ag1 Cl6,6.0,1
mp-1111949,K2AlAgF6,-3.045985775616666,4,"[Element Ag, Element Al, Element F, Element K]",Cubic,Fm-3m,10,K2 Al1 Ag1 F6,6.0,1
mp-1111999,K2AlAuBr6,-1.378608272449999,4,"[Element Al, Element Au, Element Br, Element K]",Cubic,Fm-3m,10,K2 Al1 Au1 Br6,6.0,1
mp-1112440,K2AlAuCl6,-1.695294581449999,4,"[Element Al, Element Au, Element Cl, Element K]",Cubic,Fm-3m,10,K2 Al1 Au1 Cl6,6.0,1
mp-1112269,K2AlAuF6,-2.853184825449999,4,"[Element Al, Element Au, Element F, Element K]",Cubic,Fm-3m,10,K2 Al1 Au1 F6,6.0,1
mp-1112438,K2AlAuI6,-0.9556192384500001,4,"[Element Al, Element Au, Element I, Element K]",Cubic,Fm-3m,10,K2 Al1 Au1 I6,6.0,1
mp-1112165,K2AlCuF6,-3.010690930449999,4,"[Element Al, Element Cu, Element F, Element K]",Cubic,Fm-3m,10,K2 Al1 Cu1 F6,6.0,1
mp-1112211,K2AlHgBr6,-1.4458031587,4,"[Element Al, Element Br, Element Hg, Element K]",Cubic,Fm-3m,10,K2 Al1 Hg1 Br6,6.0,1
mp-1112210,K2AlHgCl6,-1.7557812327,4,"[Element Al, Element Cl, Element Hg, Element K]",Cubic,Fm-3m,10,K2 Al1 Hg1 Cl6,6.0,1
mp-1112209,K2AlHgF6,-2.9501835187000003,4,"[Element Al, Element F, Element Hg, Element K]",Cubic,Fm-3m,10,K2 Al1 Hg1 F6,6.0,1
mp-1112191,K2AlInBr6,-1.5463761121166661,4,"[Element Al, Element Br, Element In, Element K]",Cubic,Fm-3m,10,K2 Al1 In1 Br6,6.0,1
mp-1112189,K2AlInCl6,-1.881075232116666,4,"[Element Al, Element Cl, Element In, Element K]",Cubic,Fm-3m,10,K2 Al1 In1 Cl6,6.0,1
mp-1112188,K2AlInF6,-3.134881021116666,4,"[Element Al, Element F, Element In, Element K]",Cubic,Fm-3m,10,K2 Al1 In1 F6,6.0,1
mp-1112023,K2AlInI6,-1.088126558116666,4,"[Element Al, Element I, Element In, Element K]",Cubic,Fm-3m,10,K2 Al1 In1 I6,6.0,1
mp-1111591,K2AlTlBr6,-1.581349104783334,4,"[Element Al, Element Br, Element K, Element Tl]",Cubic,Fm-3m,10,K2 Al1 Tl1 Br6,6.0,1
mp-1111590,K2AlTlCl6,-1.919734430783334,4,"[Element Al, Element Cl, Element K, Element Tl]",Cubic,Fm-3m,10,K2 Al1 Tl1 Cl6,6.0,1
mp-1111379,K2AlTlF6,-3.1662907387833332,4,"[Element Al, Element F, Element K, Element Tl]",Cubic,Fm-3m,10,K2 Al1 Tl1 F6,6.0,1
mp-1111199,K2AlTlI6,-1.117664807783334,4,"[Element Al, Element I, Element K, Element Tl]",Cubic,Fm-3m,10,K2 Al1 Tl1 I6,6.0,1
mp-1112435,K2AsAuBr6,-1.165906745199999,4,"[Element As, Element Au, Element Br, Element K]",Cubic,Fm-3m,10,K2 As1 Au1 Br6,6.0,1
mp-1112434,K2AsAuCl6,-1.3907846072,4,"[Element As, Element Au, Element Cl, Element K]",Cubic,Fm-3m,10,K2 As1 Au1 Cl6,6.0,1
mp-1112267,K2AsAuF6,-2.230307611199999,4,"[Element As, Element Au, Element F, Element K]",Cubic,Fm-3m,10,K2 As1 Au1 F6,6.0,1
mp-1112432,K2AsAuI6,-0.8351918832,4,"[Element As, Element Au, Element I, Element K]",Cubic,Fm-3m,10,K2 As1 Au1 I6,6.0,1
mp-1111995,K2BiAuBr6,-1.27118850945,4,"[Element Au, Element Bi, Element Br, Element K]",Cubic,Fm-3m,10,K2 Bi1 Au1 Br6,6.0,1
mp-1112073,K2BiAuCl6,-1.50171681745,4,"[Element Au, Element Bi, Element Cl, Element K]",Cubic,Fm-3m,10,K2 Bi1 Au1 Cl6,6.0,1
mp-1112330,K2BiAuF6,-2.325779534449999,4,"[Element Au, Element Bi, Element F, Element K]",Cubic,Fm-3m,10,K2 Bi1 Au1 F6,6.0,1
mp-1110919,K2CeAgBr6,-1.795749157616665,4,"[Element Ag, Element Br, Element Ce, Element K]",Cubic,Fm-3m,10,K2 Ce1 Ag1 Br6,6.0,1
mp-1110918,K2CeAgCl6,-2.097444214616666,4,"[Element Ag, Element Ce, Element Cl, Element K]",Cubic,Fm-3m,10,K2 Ce1 Ag1 Cl6,6.0,1
mp-1112321,CsK2GaCl6,-1.8865921271655162,4,"[Element Cl, Element Cs, Element Ga, Element K]",Cubic,Fm-3m,10,Cs1 K2 Ga1 Cl6,6.0,1
mp-1112316,CsK2GaF6,-2.956793016165517,4,"[Element Cs, Element F, Element Ga, Element K]",Cubic,Fm-3m,10,Cs1 K2 Ga1 F6,6.0,1
mp-1112318,CsK2InCl6,-1.904217944082184,4,"[Element Cl, Element Cs, Element In, Element K]",Cubic,Fm-3m,10,Cs1 K2 In1 Cl6,6.0,1
mp-1112317,CsK2InF6,-2.871217322082183,4,"[Element Cs, Element F, Element In, Element K]",Cubic,Fm-3m,10,Cs1 K2 In1 F6,6.0,1
mp-1112315,CsK2IrF6,-2.424780316415517,4,"[Element Cs, Element F, Element Ir, Element K]",Cubic,Fm-3m,10,Cs1 K2 Ir1 F6,6.0,1
mp-1112308,CsK2MoF6,-2.842407379415517,4,"[Element Cs, Element F, Element K, Element Mo]",Cubic,Fm-3m,10,Cs1 K2 Mo1 F6,6.0,1
mp-1111974,CsK2NbF6,-2.8702571534155172,4,"[Element Cs, Element F, Element K, Element Nb]",Cubic,Fm-3m,10,Cs1 K2 Nb1 F6,6.0,1
mp-1112304,CsK2PdF6,-2.369593586415517,4,"[Element Cs, Element F, Element K, Element Pd]",Cubic,Fm-3m,10,Cs1 K2 Pd1 F6,6.0,1
mp-1112313,CsK2RuF6,-2.496697623415516,4,"[Element Cs, Element F, Element K, Element Ru]",Cubic,Fm-3m,10,Cs1 K2 Ru1 F6,6.0,1
