formula,target,MagpieData minimum Number,MagpieData maximum Number,MagpieData range Number,MagpieData mean Number,MagpieData avg_dev Number,MagpieData mode Number,MagpieData minimum MendeleevNumber,MagpieData maximum MendeleevNumber,MagpieData range MendeleevNumber,MagpieData mean MendeleevNumber,MagpieData avg_dev MendeleevNumber,MagpieData mode MendeleevNumber,MagpieData minimum AtomicWeight,MagpieData maximum AtomicWeight,MagpieData range AtomicWeight,MagpieData mean AtomicWeight,MagpieData avg_dev AtomicWeight,MagpieData mode AtomicWeight,MagpieData minimum MeltingT,MagpieData maximum MeltingT,MagpieData range MeltingT,MagpieData mean MeltingT,MagpieData avg_dev MeltingT,MagpieData mode MeltingT,MagpieData minimum Column,MagpieData maximum Column,MagpieData range Column,MagpieData mean Column,MagpieData avg_dev Column,MagpieData mode Column,MagpieData minimum Row,MagpieData maximum Row,MagpieData range Row,MagpieData mean Row,MagpieData avg_dev Row,MagpieData mode Row,MagpieData minimum CovalentRadius,MagpieData maximum CovalentRadius,MagpieData range CovalentRadius,MagpieData mean CovalentRadius,MagpieData avg_dev CovalentRadius,MagpieData mode CovalentRadius,MagpieData minimum Electronegativity,MagpieData maximum Electronegativity,MagpieData range Electronegativity,MagpieData mean Electronegativity,MagpieData avg_dev Electronegativity,MagpieData mode Electronegativity,MagpieData minimum NsValence,MagpieData maximum NsValence,MagpieData range NsValence,MagpieData mean NsValence,MagpieData avg_dev NsValence,MagpieData mode NsValence,MagpieData minimum NpValence,MagpieData maximum NpValence,MagpieData range NpValence,MagpieData mean NpValence,MagpieData avg_dev NpValence,MagpieData mode NpValence,MagpieData minimum NdValence,MagpieData maximum NdValence,MagpieData range NdValence,MagpieData mean NdValence,MagpieData avg_dev NdValence,MagpieData mode NdValence,MagpieData minimum NfValence,MagpieData maximum NfValence,MagpieData range NfValence,MagpieData mean NfValence,MagpieData avg_dev NfValence,MagpieData mode NfValence,MagpieData minimum NValence,MagpieData maximum NValence,MagpieData range NValence,MagpieData mean NValence,MagpieData avg_dev NValence,MagpieData mode NValence,MagpieData minimum NsUnfilled,MagpieData maximum NsUnfilled,MagpieData range NsUnfilled,MagpieData mean NsUnfilled,MagpieData avg_dev NsUnfilled,MagpieData mode NsUnfilled,MagpieData minimum NpUnfilled,MagpieData maximum NpUnfilled,MagpieData range NpUnfilled,MagpieData mean NpUnfilled,MagpieData avg_dev NpUnfilled,MagpieData mode NpUnfilled,MagpieData minimum NdUnfilled,MagpieData maximum NdUnfilled,MagpieData range NdUnfilled,MagpieData mean NdUnfilled,MagpieData avg_dev NdUnfilled,MagpieData mode NdUnfilled,MagpieData minimum NfUnfilled,MagpieData maximum NfUnfilled,MagpieData range NfUnfilled,MagpieData mean NfUnfilled,MagpieData avg_dev NfUnfilled,MagpieData mode NfUnfilled,MagpieData minimum NUnfilled,MagpieData maximum NUnfilled,MagpieData range NUnfilled,MagpieData mean NUnfilled,MagpieData avg_dev NUnfilled,MagpieData mode NUnfilled,MagpieData minimum GSvolume_pa,MagpieData maximum GSvolume_pa,MagpieData range GSvolume_pa,MagpieData mean GSvolume_pa,MagpieData avg_dev GSvolume_pa,MagpieData mode GSvolume_pa,MagpieData minimum GSbandgap,MagpieData maximum GSbandgap,MagpieData range GSbandgap,MagpieData mean GSbandgap,MagpieData avg_dev GSbandgap,MagpieData mode GSbandgap,MagpieData minimum GSmagmom,MagpieData maximum GSmagmom,MagpieData range GSmagmom,MagpieData mean GSmagmom,MagpieData avg_dev GSmagmom,MagpieData mode GSmagmom,MagpieData minimum SpaceGroupNumber,MagpieData maximum SpaceGroupNumber,MagpieData range SpaceGroupNumber,MagpieData mean SpaceGroupNumber,MagpieData avg_dev SpaceGroupNumber,MagpieData mode SpaceGroupNumber
K2Li1Sc1F6,-3.62059888448067,3,21,18,11.6,4.84,9,1,93,92,57.6,42.48,93,6.941,44.955912,38.014912,24.40839312,9.985466528,18.9984032,53.5,1814.0,1760.5,326.175,327.21,53.5,1,17,16,10.8,7.44,17,2,4,2,2.6,0.84,2,57,203,146,104.6,57.12,57,0.82,3.98,3.16,2.786,1.4328,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,73.1066666667,63.3991666667,24.32866666667,19.511200000012,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,6.35e-06,6.35e-06,6.35e-07,1.143e-06,0,15,229,214,97.1,98.52,15
K2Li1Y1F6,-3.607919012314,3,39,36,13.4,7.36,9,1,93,92,57.7,42.36,93,6.941,88.90585,81.96485,28.80338692,16.138457848,18.9984032,53.5,1799.0,1745.5,324.675,325.41,53.5,1,17,16,10.8,7.44,17,2,5,3,2.7,0.98,2,57,203,146,106.6,59.52,57,0.82,3.98,3.16,2.772,1.4496,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,73.1066666667,63.3991666667,25.34166666667,20.510666666678,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,97.1,98.52,15
Cs2K1Y1F6,-3.60758350993354,9,55,46,22.2,16.48,9,3,93,90,58.3,41.64,93,18.9984032,132.9054519,113.9070487,50.7805473,40.47502238,18.9984032,53.5,1799.0,1745.5,305.971,304.7176,53.5,1,17,16,10.8,7.44,17,2,6,4,3.3,1.56,2,57,244,187,122.3,78.36,57,0.79,3.98,3.19,2.75,1.476,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,115.765,106.0575,39.52466666667,37.212533333338,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,97.1,98.52,15
Rb2Li1Y1F6,-3.607043244214,3,39,36,17.0,12.4,9,1,93,92,57.9,42.12,93,6.941,88.90585,81.96485,38.07728692,29.121917848,18.9984032,53.5,1799.0,1745.5,319.861,322.5936,53.5,1,17,16,10.8,7.44,17,2,5,3,2.9,1.26,2,57,220,163,110.0,63.6,57,0.82,3.98,3.16,2.772,1.4496,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,90.7225,81.015,28.86483333333,25.443100000002,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,97.1,98.52,15
Rb2Li1Sc1F6,-3.60193522838067,3,37,34,15.2,9.88,9,1,93,92,57.8,42.24,93,6.941,85.4678,78.5268,33.68229312,22.968926528,18.9984032,53.5,1814.0,1760.5,321.361,324.9936,53.5,1,17,16,10.8,7.44,17,2,5,3,2.8,1.12,2,57,220,163,108.0,61.2,57,0.82,3.98,3.16,2.786,1.4328,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,90.7225,81.015,27.85183333333,25.148266666668,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,6.35e-06,6.35e-06,6.35e-07,1.143e-06,0,15,229,214,97.1,98.52,15
Cs2Na1Y1F6,-3.60198214713354,9,55,46,21.4,16.96,9,2,93,91,58.2,41.76,93,18.9984032,132.9054519,113.9070487,49.169694228,41.4415342232,18.9984032,53.5,1799.0,1745.5,309.405,310.212,53.5,1,17,16,10.8,7.44,17,2,6,4,3.2,1.48,2,57,244,187,118.6,73.92,57,0.79,3.98,3.19,2.761,1.4628,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,115.765,106.0575,35.13833333333,32.250666666668,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,97.1,98.52,15
Rb2Na1Sc1F6,-3.596129312214,9,37,28,16.0,9.4,9,2,93,91,57.9,42.12,93,18.9984032,85.4678,66.4693968,35.287170048,22.0060003712,18.9984032,53.5,1814.0,1760.5,313.079,311.7424,53.5,1,17,16,10.8,7.44,17,2,5,3,2.9,1.08,2,57,220,163,111.8,65.76,57,0.82,3.98,3.16,2.781,1.4388,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,90.7225,81.015,29.11683333333,24.667566666662,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,6.35e-06,6.35e-06,6.35e-07,1.143e-06,0,15,229,214,97.1,98.52,15
Rb2Na1Y1F6,-3.59497094804733,9,39,30,17.8,11.92,9,2,93,91,58.0,42.0,93,18.9984032,88.90585,69.9074468,39.682163848,28.1589916912,18.9984032,53.5,1799.0,1745.5,311.579,309.6948,53.5,1,17,16,10.8,7.44,17,2,5,3,3.0,1.2,2,57,220,163,113.8,68.16,57,0.82,3.98,3.16,2.767,1.4556,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,90.7225,81.015,30.12983333333,24.684100000002,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,97.1,98.52,15
K2Na1Sc1F6,-3.591892427314,9,21,12,12.4,4.36,9,2,93,91,57.7,42.36,93,18.9984032,44.955912,25.9575088,26.013270048,9.0225403712,18.9984032,53.5,1814.0,1760.5,317.893,317.2716,53.5,1,17,16,10.8,7.44,17,2,4,2,2.7,0.84,2,57,203,146,108.4,61.68,57,0.82,3.98,3.16,2.781,1.4388,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,73.1066666667,63.3991666667,25.59366666667,19.735133333338,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,6.35e-06,6.35e-06,6.35e-07,1.143e-06,0,15,229,214,97.1,98.52,15
Cs2Li1Y1F6,-3.58928459230021,3,55,52,20.6,17.44,9,1,93,92,58.1,41.88,93,6.941,132.9054519,125.9644519,47.5648173,42.40446038,18.9984032,53.5,1799.0,1745.5,317.687,323.4632,53.5,1,17,16,10.8,7.44,17,2,6,4,3.1,1.54,2,57,244,187,114.8,69.36,57,0.79,3.98,3.19,2.766,1.4568,3.98,1,2,1,1.7,0.42,2,0,5,5,3.0,2.4,5,0,1,1,0.1,0.18,0,0,0,0,0.0,0.0,0,1,7,6,4.8,2.64,7,0,1,1,0.3,0.42,0,0,1,1,0.6,0.48,1,0,9,9,0.9,1.62,0,0,0,0,0.0,0.0,0,1,9,8,1.8,1.44,1,9.7075,115.765,106.0575,33.87333333333,32.756666666668,9.7075,0,1.97,1.97,1.182,0.9456,1.97,0,0.0,0.0,0.0,0.0,0,15,229,214,97.1,98.52,15
